2016-04-28 22:34:32,943 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:34:32,974 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:32,990 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:34:32,990 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:33,006 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
2016-04-28 22:34:33,129 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.sn:jersyRestApi:0.0.1-SNAPSHOT @ D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\pom.xml.
2016-04-28 22:34:34,109 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:34,109 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\main\resources
2016-04-28 22:34:34,109 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-04-28 22:34:34,125 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\rama\rama\project-templates\jersy-restproject\jersySpringSqliteRestApi\target\m2e-wtp\web-resources\META-INF\maven\com.sn\jersyRestApi\src\test\resources
